[SKIP] Library/reference/facts/cleaned_chapters/book_0001 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0001 (index=0001)
[SKIP] Library/reference/facts/cleaned_chapters/book_0002 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0002 (index=0002)
[CHAPTER-SKIP] 0003 1/4226 -> chapter_0001.json (state)
[CHAPTER-SKIP] 0003 2/4226 -> chapter_0002.json (state)
[CHAPTER-SKIP] 0003 3/4226 -> chapter_0003.json (state)
[CHAPTER-SKIP] 0003 4/4226 -> chapter_0004.json (state)
[CHAPTER-SKIP] 0003 5/4226 -> chapter_0005.json (state)
[CHAPTER-SKIP] 0003 6/4226 -> chapter_0006.json (state)
[CHAPTER-SKIP] 0003 7/4226 -> chapter_0007.json (state)
[CHAPTER-SKIP] 0003 8/4226 -> chapter_0008.json (state)
[CHAPTER-SKIP] 0003 9/4226 -> chapter_0009.json (state)
[CHAPTER-SKIP] 0003 10/4226 -> chapter_0010.json (state)
[CHAPTER-SKIP] 0003 11/4226 -> chapter_0011.json (state)
[CHAPTER-SKIP] 0003 12/4226 -> chapter_0012.json (state)
[CHAPTER-SKIP] 0003 13/4226 -> chapter_0013.json (state)
[CHAPTER-SKIP] 0003 14/4226 -> chapter_0014.json (state)
[CHAPTER-SKIP] 0003 15/4226 -> chapter_0015.json (state)
[CHAPTER-SKIP] 0003 16/4226 -> chapter_0016.json (state)
[CHAPTER-SKIP] 0003 17/4226 -> chapter_0017.json (state)
[CHAPTER-SKIP] 0003 18/4226 -> chapter_0018.json (state)
[CHAPTER-SKIP] 0003 19/4226 -> chapter_0019.json (state)
[CHAPTER-SKIP] 0003 20/4226 -> chapter_0020.json (state)
[CHAPTER-SKIP] 0003 21/4226 -> chapter_0021.json (state)
[CHAPTER-SKIP] 0003 22/4226 -> chapter_0022.json (state)
[CHAPTER-SKIP] 0003 23/4226 -> chapter_0023.json (state)
[CHAPTER-SKIP] 0003 24/4226 -> chapter_0024.json (state)
[CHAPTER-SKIP] 0003 25/4226 -> chapter_0025.json (state)
[CHAPTER-SKIP] 0003 26/4226 -> chapter_0026.json (state)
[CHAPTER-SKIP] 0003 27/4226 -> chapter_0027.json (state)
