[SKIP] Library/reference/facts/cleaned_chapters/book_0001 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0001 (feature-index)
[SKIP] Library/reference/facts/cleaned_chapters/book_0002 -> /root/private_data/LiteraryGiant/Library/reference/facts/chapter_features/book_0002 (feature-index)
[CHAPTER-SKIP] 0003 1/4226 -> chapter_0001.json (output)
[CHAPTER-SKIP] 0003 2/4226 -> chapter_0002.json (output)
[CHAPTER-SKIP] 0003 3/4226 -> chapter_0003.json (output)
[CHAPTER-SKIP] 0003 4/4226 -> chapter_0004.json (output)
[CHAPTER-SKIP] 0003 5/4226 -> chapter_0005.json (output)
[CHAPTER-SKIP] 0003 6/4226 -> chapter_0006.json (output)
[CHAPTER-SKIP] 0003 7/4226 -> chapter_0007.json (output)
[CHAPTER-SKIP] 0003 8/4226 -> chapter_0008.json (output)
[CHAPTER-SKIP] 0003 9/4226 -> chapter_0009.json (output)
[CHAPTER-SKIP] 0003 10/4226 -> chapter_0010.json (output)
[CHAPTER-SKIP] 0003 11/4226 -> chapter_0011.json (output)
[CHAPTER-SKIP] 0003 12/4226 -> chapter_0012.json (output)
[CHAPTER-SKIP] 0003 13/4226 -> chapter_0013.json (output)
[CHAPTER-SKIP] 0003 14/4226 -> chapter_0014.json (output)
[CHAPTER-SKIP] 0003 15/4226 -> chapter_0015.json (output)
[CHAPTER-SKIP] 0003 16/4226 -> chapter_0016.json (output)
[CHAPTER-SKIP] 0003 17/4226 -> chapter_0017.json (output)
[CHAPTER-SKIP] 0003 18/4226 -> chapter_0018.json (output)
[CHAPTER-SKIP] 0003 19/4226 -> chapter_0019.json (output)
[CHAPTER-SKIP] 0003 20/4226 -> chapter_0020.json (output)
[CHAPTER-SKIP] 0003 21/4226 -> chapter_0021.json (output)
[CHAPTER-SKIP] 0003 22/4226 -> chapter_0022.json (output)
[CHAPTER-SKIP] 0003 23/4226 -> chapter_0023.json (output)
[CHAPTER-SKIP] 0003 24/4226 -> chapter_0024.json (output)
[CHAPTER-SKIP] 0003 25/4226 -> chapter_0025.json (output)
[CHAPTER-SKIP] 0003 26/4226 -> chapter_0026.json (output)
[CHAPTER-SKIP] 0003 27/4226 -> chapter_0027.json (output)
[CHAPTER-SKIP] 0003 28/4226 -> chapter_0028.json (output)
[CHAPTER-SKIP] 0003 29/4226 -> chapter_0029.json (output)
[CHAPTER-SKIP] 0003 30/4226 -> chapter_0030.json (output)
[CHAPTER-SKIP] 0003 31/4226 -> chapter_0031.json (output)
[CHAPTER-SKIP] 0003 32/4226 -> chapter_0032.json (output)
[CHAPTER-SKIP] 0003 33/4226 -> chapter_0033.json (output)
[CHAPTER-SKIP] 0003 34/4226 -> chapter_0034.json (output)
[CHAPTER-SKIP] 0003 35/4226 -> chapter_0035.json (output)
[CHAPTER-SKIP] 0003 36/4226 -> chapter_0036.json (output)
[CHAPTER-SKIP] 0003 37/4226 -> chapter_0037.json (output)
[CHAPTER-SKIP] 0003 38/4226 -> chapter_0038.json (output)
[CHAPTER-SKIP] 0003 39/4226 -> chapter_0039.json (output)
[CHAPTER-SKIP] 0003 40/4226 -> chapter_0040.json (output)
[CHAPTER-SKIP] 0003 41/4226 -> chapter_0041.json (output)
[CHAPTER-SKIP] 0003 42/4226 -> chapter_0042.json (output)
[CHAPTER-SKIP] 0003 43/4226 -> chapter_0043.json (output)
[CHAPTER-SKIP] 0003 44/4226 -> chapter_0044.json (output)
[CHAPTER-SKIP] 0003 45/4226 -> chapter_0045.json (output)
[CHAPTER-SKIP] 0003 46/4226 -> chapter_0046.json (output)
[CHAPTER-SKIP] 0003 47/4226 -> chapter_0047.json (output)
[CHAPTER-SKIP] 0003 48/4226 -> chapter_0048.json (output)
[CHAPTER-SKIP] 0003 49/4226 -> chapter_0049.json (output)
[CHAPTER-SKIP] 0003 50/4226 -> chapter_0050.json (output)
[CHAPTER-SKIP] 0003 51/4226 -> chapter_0051.json (output)
[CHAPTER-SKIP] 0003 52/4226 -> chapter_0052.json (output)
[CHAPTER-SKIP] 0003 53/4226 -> chapter_0053.json (output)
[CHAPTER-SKIP] 0003 54/4226 -> chapter_0054.json (output)
[CHAPTER-SKIP] 0003 55/4226 -> chapter_0055.json (output)
[CHAPTER-SKIP] 0003 56/4226 -> chapter_0056.json (output)
[CHAPTER-SKIP] 0003 57/4226 -> chapter_0057.json (output)
[CHAPTER-SKIP] 0003 58/4226 -> chapter_0058.json (output)
[CHAPTER-SKIP] 0003 59/4226 -> chapter_0059.json (output)
[CHAPTER-SKIP] 0003 60/4226 -> chapter_0060.json (output)
[CHAPTER-SKIP] 0003 61/4226 -> chapter_0061.json (output)
[CHAPTER-SKIP] 0003 62/4226 -> chapter_0062.json (output)
[CHAPTER-SKIP] 0003 63/4226 -> chapter_0063.json (output)
[CHAPTER-SKIP] 0003 64/4226 -> chapter_0064.json (output)
[CHAPTER-SKIP] 0003 65/4226 -> chapter_0065.json (output)
[CHAPTER-SKIP] 0003 66/4226 -> chapter_0066.json (output)
[CHAPTER-SKIP] 0003 67/4226 -> chapter_0067.json (output)
[CHAPTER-SKIP] 0003 68/4226 -> chapter_0068.json (output)
[CHAPTER-SKIP] 0003 69/4226 -> chapter_0069.json (output)
[CHAPTER-SKIP] 0003 70/4226 -> chapter_0070.json (output)
[CHAPTER-SKIP] 0003 71/4226 -> chapter_0071.json (output)
[CHAPTER-SKIP] 0003 72/4226 -> chapter_0072.json (output)
[CHAPTER-SKIP] 0003 73/4226 -> chapter_0073.json (output)
[CHAPTER-SKIP] 0003 74/4226 -> chapter_0074.json (output)
[CHAPTER-SKIP] 0003 75/4226 -> chapter_0075.json (output)
[CHAPTER-SKIP] 0003 76/4226 -> chapter_0076.json (output)
[CHAPTER-SKIP] 0003 77/4226 -> chapter_0077.json (output)
[CHAPTER-SKIP] 0003 78/4226 -> chapter_0078.json (output)
[CHAPTER-SKIP] 0003 79/4226 -> chapter_0079.json (output)
[CHAPTER-SKIP] 0003 80/4226 -> chapter_0080.json (output)
[CHAPTER-SKIP] 0003 81/4226 -> chapter_0081.json (output)
[CHAPTER-SKIP] 0003 82/4226 -> chapter_0082.json (output)
[CHAPTER-SKIP] 0003 83/4226 -> chapter_0083.json (output)
[CHAPTER-SKIP] 0003 84/4226 -> chapter_0084.json (output)
[CHAPTER-SKIP] 0003 85/4226 -> chapter_0085.json (output)
[CHAPTER-SKIP] 0003 86/4226 -> chapter_0086.json (output)
[CHAPTER-SKIP] 0003 87/4226 -> chapter_0087.json (output)
[CHAPTER-SKIP] 0003 88/4226 -> chapter_0088.json (output)
[CHAPTER-SKIP] 0003 89/4226 -> chapter_0089.json (output)
[CHAPTER-SKIP] 0003 90/4226 -> chapter_0090.json (output)
[CHAPTER-SKIP] 0003 91/4226 -> chapter_0091.json (output)
